clean_name,clean_price,clean_rating,processor_brand,processor_core,generation,clean_ram,clean_os,clean_display,touchscreen,clean_ssd,clean_hdd,clean_warranty
HP,39980,4.3,Intel,Intel Core i3,12,8,Windows 11 ,15.6,0,512,0,1
ASUS,32990,4.3,Intel,Intel Core i3,11,8,Windows 11 ,15.6,0,256,0,1
ASUS,52990,4.3,AMD,Ryzen 5,0,8,Windows 11 ,15.6,0,1024,0,1
MSI,57990,4.4,AMD,Ryzen 7,0,16,Windows 11 ,15.6,0,512,0,1
MSI,32990,4.3,Intel,Intel Core i3,11,8,Windows 11 ,14.0,0,512,0,1
Acer,26990,4.1,Intel,Intel Core i3,11,8,Windows 11 ,14.0,0,256,0,1
HP,53990,4.2,AMD,Ryzen 5,0,8,Windows 11 ,15.6,0,512,0,1
HP,67990,4.3,Intel,Intel Core i5,12,16,Windows 11 ,15.6,0,512,0,1
Infinix,30990,4.2,Intel,Intel Core i3,11,8,Windows 11 ,14.0,0,512,0,1
Infinix,24490,4.1,Intel,Intel Multi Core,11,8,Windows 11 ,15.4,0,512,0,1
Lenovo,48990,4.3,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,512,0,1
HP,38490,4.3,Intel,Intel Core i3,11,8,Windows 11 ,14.0,0,512,0,1
ASUS,66990,4.4,Intel,Intel Core i5,12,16,Windows 11 ,14.0,0,512,0,1
HP,50990,4.4,AMD,Ryzen 5,0,16,Windows 11 ,15.6,0,512,0,1
HP,62990,4.3,AMD,Ryzen 5,0,16,Windows 11 ,15.6,0,512,0,1
